0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:54:20 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:54:20 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:56:09 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:56:09 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:07 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:07 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:44 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:44 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:45 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:45 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:39:47 +0900] "GET /LECTURE13/detail.jsp HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:40:17 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:40:17 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:41:22 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [07/Jul/2017:17:41:22 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:18:00:41 +0900] "GET /LECTURE11/name.jsp HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [07/Jul/2017:18:00:45 +0900] "POST /LECTURE11/name.jsp HTTP/1.1" 200 1142
